id,trigger,conditions,script,text,options,notes,
vulp_interrogationGoodEnd_explore1,DialogOptionSelected,$option == vulp_interrogationGoodEnd_explore1,AdjustRepActivePerson COOPERATIVE 10,"""I can be independent while working for you, can't I?"" she wonders aloud.

""Well... maybe I could. But you're right, I've spent 200 cycles following a dead company's orders. And I'm clever enough to stay out of trouble.""",vulp_interrogationGoodEnd_explore2:Continue,,
vulp_interrogationGoodEnd_explore2,DialogOptionSelected,$option == vulp_interrogationGoodEnd_explore2,"SetVulpoidExpression default
$global.laisaAdventuring = true","""Thank you, for looking out for me. Take care of the dummies, okay? Give them some make-work jobs if they start missing me, and they'll forget easy.""

She gives you a peck on the cheek, and you assure her you'll make the accommodations with your purser.",vulp_interrogationLeave:Continue,,
,,,,,,,
# Ending Triggers,,,,,,,
vulp_interrogationLeaveAndAddEmbarked,DialogOptionSelected,$option == vulp_interrogationLeaveAndAddEmbarked,"AddVulpoidFromImportant laisa special_vulpoid_embarked
$option = vulp_interrogationLeave
FireBest DialogOptionSelected",,,,
vulp_interrogationLeaveAndAddFrozen,DialogOptionSelected,$option == vulp_interrogationLeaveAndAddFrozen,"AddVulpoidFromImportant laisa special_vulpoid
$option = vulp_interrogationLeave
FireBest DialogOptionSelected",,,,
vulp_interrogationLeave,DialogOptionSelected,$option == vulp_interrogationLeave,"HideVisual
$global.vulp_didInterrogation = true
$global.vulp_didInterrogationForMission = true
Call $global.vulpFactory_ref updateStage","Returning to the bridge, you double-check the override codes you received from Laisa. Once input into the Rellrait's computers, you should have access to both the ship itself, and the bioforge.",defaultLeave:Leave,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
vulp_planetThreshold,OpenInteractionDialog,"$id == vulp_planetThreshold
$vulp_planetThreshold score:1000",ShowDefaultVisual,"Your $shipOrFleet approaches $entityName.

The ice giant spins below your $shipOrFleet, lit only by the barest light of the galaxy, warmed only by the internal pressure of gravity and the barest flicker of atomic decay. Unlikely to form naturally in interstellar space, this planet must have been thrown from its home system by some cataclysmic interaction in aeons past. Adrift, it is doomed to shrink and cool toward the interstellar medium over billions of cycles.",100:defaultLeave:Leave,# Pulled straight from the nameless ice giant the Gate hauler orbits.,
,,,,,,,
vulp_bivouacFusionLamp,OpenInteractionDialog,$vulp_bivouacLamp score:2000,ShowDefaultVisual,"Your comms officer tries to establish a connection to the fusion lamp's governor interface, but the connection fails, leaving you with a blank display and the quiet hiss of interstellar static.

Your sensors officer reports that the lamp appears to be sustained by a thin wisp of volatiles expelled up from the ice giant by its own magnetic field.

Such a formation occurring naturally is all but impossible, yet there's no sign of any infrastructure to produce the effect. Perhaps some sort of Domain-era technology, buried deep in the giant's heart.",100:defaultLeave:Leave,,
,,,,,,,
,,,,,,,
vulp_bivouacOpenDialog,OpenInteractionDialog,$vulp_planetBivouac score:1000,"SalvageGenFromSeed
ShowDefaultVisual
FireBest SalvageCheckHostile","Your $shipOrFleet approaches $entityName.

The world below you defies belief - a flawless green marble, spinning under the sunless sky of the Orion-Perseus Abyss. Your sensors officer confirms - after triple-checking their readings - that the planet is of nominal temperature, has a breathable atmosphere, and in fact even has an incredibly mild climate.

This world cannot have formed like this. It must have been terraformed under lamplight, with extraordinarily advanced technology by people with no better options.",,,
vulp_bivouacDefenderDesc,TriggerAutomatedDefenses,$vulp_planetBivouac score:1000,SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, sensors detect multiple contacts rising up from the glittering surface.

The orange hulls and angular forms of the Domain XIV Battlegroup ships are unmistakable, but they're accompanied by another, more advanced vessel as well.",,,
UtopiaTerraformerDefeated,UtopiaTerraformerDefeated,,"VulpoidTerraformer fleetDefeated
CallEvent $global.vulp_terraformingIntel beatFleet","Your sensors officer reports in a hushed voice that no escape pods were detected leaving the ships at any point.

At the heart of the debris field, the Eridani-Utopia vessel has remained in one piece, ready to be boarded.",,,
,,,,,,,
# TODO INTERACT WITH DERELICT SHIP - HAS TAG $vulp_terraformer,,,,,,,
vulp_terraformerOpenDialog_return,OpenInteractionDialog,"$vulp_terraformer score:1000
$explored
!$repaired",ShowImageVisual space_wreckage,"Your $shipOrFleet approaches $aOrAn $nameInText.

The ship has remained untouched in the abyss, unable to power up until its nanoforge has been extricated.","vulp_terraformerRepairHub:Have your chief engineer review the repair plan
100:defaultLeave:Leave",,
vulp_terraformerOpenDialog_repairing,OpenInteractionDialog,"$vulp_terraformer score:1000
$explored
$repaired
$repairing",ShowImageVisual space_wreckage,"Your comms officer contacts the onboard crew, and confirms that the repairs are going smoothly. The biosphere is apparently quite comfortable to live in, and much of the crew is eager to serve on the vessel once it's operational.

They also insist it's haunted, but that's par for the course.",100:defaultLeave:Leave,,
vulp_terraformerOpenDialog_repairedInitial,OpenInteractionDialog,"$vulp_terraformer score:1000
$explored
$repaired
!$repairing","AddRemoveCommodity crew $crewReq
AddRemoveCommodity heavy_machinery $machineryReq
AddRemoveAnyItem SPECIAL midas_nanoforge 1
CallEvent $global.vulp_terraformingIntel returnedToTerraformer
$gotCrewBack = true
FireBest OpenInteractionDialog","Your crews report complete success on the removal of the nanoforge infrastructure. It's been reassembled into a device that can be installed in a heavy industry facility like a traditional nanoforge, but will consume raw ore in place of refined metal.

The core is shuttled back over to your $shipOrFleet, along with the crew and their machinery.",,,
vulp_terraformerOpenDialog_repairedReturn,OpenInteractionDialog,"$vulp_terraformer score:1000
$explored
$repaired
!$repairing
$gotCrewBack",SalvageSpecialInteraction,"The ship is in excellent condition, having been carefully repaired by your crew. It's now ready to be powered up and recovered.",,,
vulp_terraformerOpenDialog_initial,CheckSalvageSpecial,$vulp_terraformer score:1000,,"Unlike what was observed with the Citadel, scans show no indications of life aboard the vessel.

Nonetheless, discretion remains the better part of valor, and your ops chief coordinates a by-the-book boarding action with practiced ease.",vulp_exploreTerraformer:Continue,,
vulp_exploreTerraformer,DialogOptionSelected,$option == vulp_exploreTerraformer,"$explored = true
CallEvent $global.vulp_terraformingIntel exploredTerraformer
unset $missionImportant_vulp_terraformer","Standard reports pour in as your salvors move through the vessel, but you catch a deeper-than-usual frown on the face of your ops chief.","vulp_exploreTerraformer1:""Something wrong, ops?""",,
vulp_exploreTerraformer1,DialogOptionSelected,$option == vulp_exploreTerraformer1,,"""The bodies, $playerSirOrMadam. Don't seem right.""","vulp_exploreTerraformer2:""They didn't launch escape pods.""",,
vulp_exploreTerraformer2,DialogOptionSelected,$option == vulp_exploreTerraformer2,,"""Aye, that'd be strange even for Pathers. But it's where the bodies fell that's not right.""

""If it were battle damage that got them, that's all well and good. But we're finding corpses lying on deckplates without a scuff on them. Like they dropped dead on their feet.""","vulp_exploreTerraformer3:""Science, get me some autopsies.""",,
vulp_exploreTerraformer3,DialogOptionSelected,$option == vulp_exploreTerraformer3,,"The boarding continues without further fanfare. As your salvors cross a bioluminescent river, you note that it's almost more like surveying an uninhabited moon.

It doesn't take much longer before you have reports from science and ops in front of you. Neither are happy.",vulp_exploreTerraformer4:Read science's report,,
vulp_exploreTerraformer4,DialogOptionSelected,$option == vulp_exploreTerraformer4,,"The autopsy reports are infuriatingly inconclusive. The best answer they have for the uninjured bodies is total organ failure, perhaps from suffocation. But the ship's life support appears undamaged, and many of their suits have full oxygen tanks.

Even more unnervingly, the medics had great difficulty ascertaining time of death for all the bodies, injured or not. They're confident that the injuries line up with the timing of the engagement, but only reluctantly assign them as the cause of death.

It's as if the entire crew dropped dead when the ship was disabled, and not a moment sooner.",vulp_exploreTerraformer5:Read ops' report,,
vulp_exploreTerraformer5,DialogOptionSelected,$option == vulp_exploreTerraformer5,,"The salvor's report isn't any more reassuring. The computer cores have been scrubbed down to the crystal, not a single byte of data remains on the entire vessel. A wipe like this should take days to weeks at a minimum, and there's no indication that the ship's computers were powered up at all after the reactor failed.

The next-best explanation would be that the cores were wiped prior to the engagement, except that would be nonsensical. Even an Invictus requires computer systems just to fly, and this is a high-tech, highly automated capital ship that fully engaged your $shipOrFleet in battle. The computers had to have been working.

And yet, they aren't.",vulp_exploreTerraformer6:Continue,,
vulp_exploreTerraformer6,DialogOptionSelected,$option == vulp_exploreTerraformer6,,"Cargo reports are less disturbing, and more simply disappointing. The ship's vast cargo bays are all but empty. Nearly every scrap of material and equipment has been used, leaving nothing left for your teams to scoop up. The biodome's facilities seem to have been almost entirely residential, leaving behind no equipment there either.

As you're reviewing the lackluster manifest, your chief engineer opens comms, in a much better mood than your other senior officers.","vulp_exploreTerraformer7:""Give me good news, chief.""",,
vulp_exploreTerraformer7,DialogOptionSelected,$option == vulp_exploreTerraformer7,,"""Captain, this ship puts the Citadel to shame. The biosphere alone... it's clearly the pinnacle of Eridani's work.""

""As best I can tell, this ship was intended to act as a next-generation terraforming platform. It's got bays and equipment mounts for every type and class of terraforming equipment imaginable, all empty unfortunately. This thing could have turned any barren rock into a garden world.""

A quick glance at the viewscreen, showing the brilliant green planet below, would seem to confirm this.","vulp_exploreTerraformer8:""Can we recover it?""",,
vulp_exploreTerraformer8,DialogOptionSelected,$option == vulp_exploreTerraformer8,,"Your engineer looks slightly abashed. ""Well, unfortunately there's a hitch there. The ship has a nanoforge-based manufactoring facility woven through it. It takes a lot of software and safeguards to make something of that scale work safely, and with the computers wiped we don't have those any more.""

""If we try to power up the ship, the nanoforge is liable to paperclip the whole thing. We've got to gut it first before we can bring systems online. On the plus side, we'd get a pretty fancy nanoforge out of it.""","vulp_terraformerRepairHub:""Alright, give me some numbers.""",,
vulp_terraformerRepairHub,DialogOptionSelected,$option == vulp_terraformerRepairHub,"$crewReq = 1000
$machineryReq = 500
$suppliesReq = 1000
SetTextHighlights ""120 days""
FireBest VulpTerraformerFuelBlurb
FireAll VulpTerraformerRepairOptions","Your chief engineer taps at their TriPad, and a materials schedule appears in your executive interface.

It will take roughly 120 days to exctricate the the nanoforge systems from the rest of the vessel. The crew can live within the biodome during the work, so you don't need to stay for the duration.",,,
vulp_terraformerRepairHubFuelBlurb,VulpTerraformerFuelBlurb,,ShowResCost crew $crewReq heavy_machinery $machineryReq supplies $suppliesReq true,"Of course, once it's been repaired you'll need to come back with enough fuel to fly it back to the Sector.",,,
